time,titles,tags
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=11, tm_min=45, tm_sec=7, tm_wday=5, tm_yday=83, tm_isdst=-1)","Видели, во что мэрию превратили? Как за 100 лет изменилась главная площадь Иркутска","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=11, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)","Уголовное дело, тысяча пострадавших и ребенок на руках: что сейчас с блогерами, которые обманули туристов на 27 млн на турах в Эмираты","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=11, tm_min=6, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Флаги приспустили на зданиях правительства и мэрии в Иркутске,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=10, tm_min=34, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Сегодня и завтра ничего не будет: крупные мероприятия отменяют в Иркутске из-за теракта в Подмосковье,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=10, tm_min=9, tm_sec=4, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Муж позвонил из зала и сказал, что горит». Родные дежурят у больниц, куда отвезли раненных в Crocus City Hall","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=10, tm_min=9, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Выбитые стёкла и обугленные куски стен. Как выглядит Crocus City Hall после пожара: фото,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=9, tm_min=53, tm_sec=53, tm_wday=5, tm_yday=83, tm_isdst=-1)",Самарскую область атаковали беспилотники. Огонь охватил нефтеперерабатывающий завод,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=9, tm_min=30, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Эта весна обойдется дорого. Препараты от аллергии взлетели в цене или пропали совсем,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=9, tm_min=25, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Спасатели опубликовали список пострадавших во время теракта. Приводим его полностью,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=9, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)","«В воинских частях — ""сетевой маркетинг""»: юрист — о весеннем призыве, контрактниках и мобилизации","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=8, tm_min=47, tm_sec=24, tm_wday=5, tm_yday=83, tm_isdst=-1)",В Иркутске отменили книжный фестиваль «КнигаМарт» из-за теракта в Подмосковье,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=8, tm_min=24, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Количество погибших в Crocus City Hall выросло до 60 человек,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=8, tm_min=24, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Количество погибших в Crocus City Hall выросло до 60 человек,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=8, tm_min=23, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Нет слов от ужаса». Иркутские политики прокомментировали теракт в Crocus CIty Hall,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=8, tm_min=13, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",80 пострадавших во время теракта в «Крокусе» доставили в больницы Москвы: список,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=7, tm_min=35, tm_sec=36, tm_wday=5, tm_yday=83, tm_isdst=-1)",Что происходило во время теракта в Crocus CIty Hall в Москве. Краткая хронология событий,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=6, tm_min=25, tm_sec=12, tm_wday=5, tm_yday=83, tm_isdst=-1)",Число пострадавших перевалило за сотню. Что известно о теракте в Crocus CIty Hall к этому часу,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=6, tm_min=19, tm_sec=5, tm_wday=5, tm_yday=83, tm_isdst=-1)",Минздрав Подмосковья опубликовал список пострадавших во время теракта в Crocus CIty Hall,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=5, tm_min=42, tm_sec=54, tm_wday=5, tm_yday=83, tm_isdst=-1)",Во время теракта в Crocus City Hall погибли дети,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=5, tm_min=40, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Что происходит на месте пожара и обрушения: последние новости о теракте в Crocus City Hall,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=5, tm_min=36, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Все мероприятия отменили в Иркутской области после теракта в Crocus City Hall,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=5, tm_min=16, tm_sec=40, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Никто ничего не понял, была паника». Что говорят очевидцы теракта в «Крокус Сити Холле»","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=4, tm_min=54, tm_sec=5, tm_wday=5, tm_yday=83, tm_isdst=-1)",Женские визги и автоматная очередь. Как начался теракт в Crocus City Hall — видео первых минут трагедии,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=4, tm_min=49, tm_sec=12, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Это ужас». Сергей Светлаков стал очевидцем стрельбы в Crocus CIty Hall,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=4, tm_min=34, tm_sec=56, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Было много крови». Директор «Пикника» — о трагедии в «Крокус-Сити»,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=4, tm_min=21, tm_sec=46, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Ничем не оправданная бесчеловечность»: как власти отреагировали на теракт в Crocus City Hall,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=4, tm_min=17, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Там внутри люди! А мы опоздали на 15 минут». Страшные кадры из Crocus City Hall во время теракта,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=4, tm_min=16, tm_sec=57, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Люди выбегали, а их продолжали стрелять»: новые рассказы очевидцев о теракте в Crocus City Hall","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=3, tm_min=50, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",После теракта в Crocus City Hall в работе «ВКонтакте» произошел массовый сбой,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=3, tm_min=46, tm_sec=14, tm_wday=5, tm_yday=83, tm_isdst=-1)",Владимиру Путину доложили о теракте в Crocus City Hall,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=3, tm_min=45, tm_sec=29, tm_wday=5, tm_yday=83, tm_isdst=-1)",Очевидец: в «Крокус Сити Холле» на момент стрельбы могло быть более 4 тысяч человек,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=3, tm_min=45, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",В связи с терактом в Crocus City Hall вузы отменяют очные занятия,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=3, tm_min=35, tm_sec=23, tm_wday=5, tm_yday=83, tm_isdst=-1)",Раненых из Crocus City Hall госпитализировали в больницы Москвы,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=3, tm_min=16, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",40 человек погибли в результате теракта в Crocus City Hall. Еще 100 получили ранения,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=3, tm_min=6, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Стрельбу и взрыв в Crocus City Hall официально назвали терактом. Возбуждено уголовное дело,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=3, tm_min=0, tm_sec=42, tm_wday=5, tm_yday=83, tm_isdst=-1)",Полиция пошла на штурм Crocus City Hall: видео,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=2, tm_min=53, tm_sec=32, tm_wday=5, tm_yday=83, tm_isdst=-1)",«Стреляют в толпе. Зал горит». Очевидцы — о стрельбе в концертном зале Crocus City Hall: видео,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=2, tm_min=15, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",Более 10 человек погибли во время стрельбы и взрыва в Crocus City Hall. Что там сейчас творится: прямой эфир,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=2, tm_min=12, tm_sec=46, tm_wday=5, tm_yday=83, tm_isdst=-1)","«Зал горит, в нас стреляют из автомата». Первые кадры с концертного зала Crocus City Hall, в котором началась стрельба","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=2, tm_min=9, tm_sec=43, tm_wday=5, tm_yday=83, tm_isdst=-1)","Взрыв, погибшие и раненые. Что известно о стрельбе в Crocus City Hall к этой минуте","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=1, tm_min=31, tm_sec=0, tm_wday=5, tm_yday=83, tm_isdst=-1)",На концерте в Москве открыли стрельбу из автомата. Есть погибшие,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=23, tm_hour=1, tm_min=20, tm_sec=2, tm_wday=5, tm_yday=83, tm_isdst=-1)",Теракт в Crocus City Hall. Главные события самой темной ночи марта,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=21, tm_min=25, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)","«Похуже не смогли найти?» Иркутяне раскритиковали место, где построят первый ресторан «Вкусно — и точка»","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=20, tm_min=28, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)",Иркутский музыкант Евгений Маслобоев напишет саундтрек к новому сериалу «Тормоза» для онлайн-кинотеатра,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=19, tm_min=30, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)","Гришаева старше мужа на 12 лет, а Буланова — на 19. Почему женщины 40+ выбирают мужчин младше себя","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=18, tm_min=41, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)","Книжный фестиваль, лекция про магнитные бури и мастер-классы. Куда сходить в Иркутске в выходные","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=18, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)","Козерогам — проблемы со здоровьем, Тельцам — перемены: гороскоп на апрель 2024 года для всех знаков зодиака","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=17, tm_min=31, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)",Минздрав Приангарья прокомментировал новое уголовное дело в ведомстве из-за закупки лекарств,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=17, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)","«Если не надеяться на успех». Неожиданный совет от 89-летнего психиатра из Японии, как пережить самые большие трудности в жизни","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=16, tm_min=55, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)","Появится и точка. Рассказываем, где и когда в Иркутске откроется первый ресторан популярного фастфуда","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=16, tm_min=24, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)","«Гоняли по больнице днями». По делу против Сандакова допросили родителей детей, которые вовремя не получили лекарства","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)",Красавица из России стала «Миссис мира». И мы очарованы ее фотографиями,"{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=15, tm_min=58, tm_sec=0, tm_wday=4, tm_yday=82, tm_isdst=-1)","Так себе погода. Синоптики рассказали, чего ждать в эти выходные в Иркутске","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
"time.struct_time(tm_year=2024, tm_mon=3, tm_mday=22, tm_hour=15, tm_min=38, tm_sec=45, tm_wday=4, tm_yday=82, tm_isdst=-1)","По Украине пришлась мощная серия ударов: на ДнепроГЭС пожар, в Харькове нет света","{'rubrics': ' Экономика ', 'theme': ' Кризис-2024 ', 'format': ' Эксперт '}"
